Order Id,Tracking Code
2213172-1435,'4PX3000590153725CN
2213309-1435,'4PX3000590153503CN
2213460-1435,'4PX3000590151721CN
2213410-1435,'4PX3000590159079CN
2212802-1434,'4PX3000590160730CN
2213344-1435,'4PX3000590157747CN
2213308-1435,'4PX3000590158263CN
2213363-1435,'4PX3000590159529CN
2213533-1435,'4PX3000590154265CN
2213223-1435,'4PX3000590152308CN
107556,'4PX3000590157587CN
107532,'4PX3000588924054CN
2213049-1434,'4PX3000588923576CN
2201526-1433,'WNBAA0240154706YQ
2211593-1432,'YT2313521272285867
2212219-1432,'YT2313521272285799
2203266-2-1425,'YT2313021272189025
107221,'YT2313021272188790
2204277-1425,'YT2313021272189297
2206135-1425,'YT2313021272189501
2209032-1425,'YT2313021272189461
2197413-1425,'YT2313021272188939
2197902-2-1424,'JY235A900131098461
2197902-1-1424,'JY235A900131098431
2203266-3-1425,'YT2312921272223845
2203266-1-1425,'YT2312921272224168
107024,'YT2312921272224064
2208611-1425,'YT2312921272223892
2209298-1425,'YT2312921272223984
2191940-1424,'YT2312821272198451
2205044-1420,'7177670899996717408
2204439-1419,'YT2312521272165856
2164050-1369,'YT2312521272075360
104503,'YT2312521272075400
2035929-1352,'YT2312521272075393
102763,'YT2312521272075531
104392,'YT2312521272075300
104561,'YT2312521272075329
104517,'JY2355100131036306
102811,'YT2312521272075449
105371,'H00S0A0038073603
1996275-1340,'YT2312421272080344
1913401-1224,'YT2312421272080703
divph001,'YT2311121266048878
divph001,'YT2311121266048878
2151295-1349,'06215182912962
2205361-1420,'4PX3000570119536CN
2205530-1420,'4PX3000570121515CN
2205239-1420,'33XJK323914901000935101
2192348-1400,'WNBAA0237360328YQ
2183051-1386,'06086316874690
2192409-1400,'WNBAA0237360332YQ
2205650-1420,'4PX3000570125230CN
2205392-1420,'4PX3000570128682CN
2183133-1410,'YT2312221272248508
2180008-1420,'H00S0A0037886580
2158516-1359,'4PX3000570856202CN
2196552-1410,'YT2312221272260292
2118994-1318,'YT2312321272083181
2169226-1-1376,'4PX3000569684878CN
2204332-1419,'4PX3000568797876CN
2204415-1419,'YT2312121272097254
2204798-1419,'4PX3000568797623CN
2204598-1419,'4PX3000568784463CN
2204414-1419,'4PX3000568798491CN
2204094-1418,'4PX3000568799030CN
2204240-1419,'4PX3000568793908CN
2204683-1419,'4PX3000568795056CN
2204461-1419,'4PX3000568785521CN
2204894-1419,'34W7E496164701000931504
2197344-1419,'4PX3000568793465CN
2194408-1419,'YT2312121211000230
